"scene","image","bbmin","bbmax","camera.position","camera.up","camera.target","camera.direction"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/flowers/models/model_normalized.obj-0","model_normalized.obj-0.png","(-0.5383632, -0.8940469, -0.836836)","(0.55827415, 0.93699586, 0.5402123)","(-4.296813, 0.02147448, -0.14831185)","(-0.0, 1.0, 0.0)","(0.009955466, 0.02147448, -0.14831185)","(1.0, 0.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/flowers/models/model_normalized.obj-1","model_normalized.obj-1.png","(-0.5383632, -0.8940469, -0.836836)","(0.55827415, 0.93699586, 0.5402123)","(4.316724, 0.02147448, -0.14831185)","(0.0, 1.0, 0.0)","(0.009955466, 0.02147448, -0.14831185)","(-1.0, 0.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/flowers/models/model_normalized.obj-2","model_normalized.obj-2.png","(-0.5383632, -0.8940469, -0.836836)","(0.55827415, 0.93699586, 0.5402123)","(0.009955466, -3.720615, -0.14831185)","(-1.0, 0.0, 0.0)","(0.009955466, 0.02147448, -0.14831185)","(0.0, 1.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/flowers/models/model_normalized.obj-3","model_normalized.obj-3.png","(-0.5383632, -0.8940469, -0.836836)","(0.55827415, 0.93699586, 0.5402123)","(0.009955466, 3.7635636, -0.14831185)","(-1.0, 0.0, 0.0)","(0.009955466, 0.02147448, -0.14831185)","(0.0, -1.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/flowers/models/model_normalized.obj-4","model_normalized.obj-4.png","(-0.5383632, -0.8940469, -0.836836)","(0.55827415, 0.93699586, 0.5402123)","(0.009955466, 0.02147448, -4.595286)","(0.0, 1.0, 0.0)","(0.009955466, 0.02147448, -0.14831185)","(0.0, 0.0, 1.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/flowers/models/model_normalized.obj-5","model_normalized.obj-5.png","(-0.5383632, -0.8940469, -0.836836)","(0.55827415, 0.93699586, 0.5402123)","(0.009955466, 0.02147448, 4.298662)","(0.0, 1.0, 0.0)","(0.009955466, 0.02147448, -0.14831185)","(0.0, 0.0, -1.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/flowers/models/model_normalized.obj-6","model_normalized.obj-6.png","(-0.5383632, -0.8940469, -0.836836)","(0.55827415, 0.93699586, 0.5402123)","(0.009955466, -2.6245828, -3.2927966)","(0.0, 1.0, 0.0)","(0.009955466, 0.02147448, -0.14831185)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/flowers/models/model_normalized.obj-7","model_normalized.obj-7.png","(-0.5383632, -0.8940469, -0.836836)","(0.55827415, 0.93699586, 0.5402123)","(2.1633394, -2.6245828, -2.3717983)","(0.0, 1.0, 0.0)","(0.009955466, 0.02147448, -0.14831185)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/flowers/models/model_normalized.obj-8","model_normalized.obj-8.png","(-0.5383632, -0.8940469, -0.836836)","(0.55827415, 0.93699586, 0.5402123)","(3.0553002, -2.6245828, -0.14831172)","(0.0, 1.0, 0.0)","(0.009955466, 0.02147448, -0.14831185)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/flowers/models/model_normalized.obj-9","model_normalized.obj-9.png","(-0.5383632, -0.8940469, -0.836836)","(0.55827415, 0.93699586, 0.5402123)","(2.1633394, -2.6245828, 2.0751748)","(0.0, 1.0, 0.0)","(0.009955466, 0.02147448, -0.14831185)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/flowers/models/model_normalized.obj-10","model_normalized.obj-10.png","(-0.5383632, -0.8940469, -0.836836)","(0.55827415, 0.93699586, 0.5402123)","(0.009955199, -2.6245828, 2.996173)","(0.0, 1.0, 0.0)","(0.009955466, 0.02147448, -0.14831185)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/flowers/models/model_normalized.obj-11","model_normalized.obj-11.png","(-0.5383632, -0.8940469, -0.836836)","(0.55827415, 0.93699586, 0.5402123)","(-2.1434288, -2.6245828, 2.0751743)","(0.0, 1.0, 0.0)","(0.009955466, 0.02147448, -0.14831185)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/flowers/models/model_normalized.obj-12","model_normalized.obj-12.png","(-0.5383632, -0.8940469, -0.836836)","(0.55827415, 0.93699586, 0.5402123)","(-3.0353894, -2.6245828, -0.1483119)","(0.0, 1.0, 0.0)","(0.009955466, 0.02147448, -0.14831185)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/flowers/models/model_normalized.obj-13","model_normalized.obj-13.png","(-0.5383632, -0.8940469, -0.836836)","(0.55827415, 0.93699586, 0.5402123)","(-2.1434278, -2.6245828, -2.3717992)","(0.0, 1.0, 0.0)","(0.009955466, 0.02147448, -0.14831185)",""
